"id","country_id","name","sequence","timestamp"
"1","5","7 parishes","1","2016-06-09 00:39:27"
"2","233","7 emirates","1","2016-06-09 00:39:27"
"3","1","34 provinces","1","2016-06-09 00:39:27"
"4","9","6 parishes","1","2016-06-09 00:39:27"
"5","9","2 dependencies","2","2016-06-09 00:39:27"
"6","2","12 counties","1","2016-06-09 00:39:27"
"7","2","36 districts","2","2016-06-09 00:39:27"
"8","11","1 city","1","2016-06-09 00:39:27"
"9","11","10 regions","2","2016-06-09 00:39:27"
"10","6","18 provinces","1","2016-06-09 00:39:27"
"11","10","1 city","1","2016-06-09 00:39:27"
"12","10","23 provinces","2","2016-06-09 00:39:27"
"13","14","9 states","1","2016-06-09 00:39:27"
"14","13","6 states","1","2016-06-09 00:39:27"
"15","13","2 territories","2","2016-06-09 00:39:27"
"16","15","1 autonomous republic","1","2016-06-09 00:39:27"
"17","15","11 municipalities","2","2016-06-09 00:39:27"
"18","15","66 rayons","3","2016-06-09 00:39:27"
"19","28","2 entities","1","2016-06-09 00:39:27"
"20","28","1 district with special status","2","2016-06-09 00:39:27"
"21","19","11 parishes","1","2016-06-09 00:39:27"
"22","18","7 divisions","1","2016-06-09 00:39:27"
"23","18","64 districts","2","2016-06-09 00:39:27"
"24","21","3 regions","1","2016-06-09 00:39:27"
"25","21","10 provinces","2","2016-06-09 00:39:27"
"26","35","13 regions","1","2016-06-09 00:39:27"
"27","35","45 provinces","2","2016-06-09 00:39:27"
"28","34","28 regions","1","2016-06-09 00:39:27"
"29","17","4 governorates","1","2016-06-09 00:39:27"
"30","36","18 provinces","1","2016-06-09 00:39:27"
"31","23","12 departments","1","2016-06-09 00:39:27"
"32","33","4 districts","1","2016-06-09 00:39:27"
"33","26","9 departments","1","2016-06-09 00:39:27"
"34","27","3 special municipalities","1","2016-06-09 00:39:27"
"35","31","1 federal district","1","2016-06-09 00:39:27"
"36","31","26 states","2","2016-06-09 00:39:27"
"37","16","31 districts","1","2016-06-09 00:39:27"
"38","25","20 districts","1","2016-06-09 00:39:27"
"39","29","10 districts","1","2016-06-09 00:39:27"
"40","29","4 towns","2","2016-06-09 00:39:27"
"41","29","2 cities","3","2016-06-09 00:39:27"
"42","20","6 oblasts","1","2016-06-09 00:39:27"
"43","20","1 city","2","2016-06-09 00:39:27"
"44","22","6 districts","1","2016-06-09 00:39:27"
"45","40","10 provinces","1","2016-06-09 00:39:27"
"46","40","3 territories","2","2016-06-09 00:39:27"
"47","51","1 city","1","2016-06-09 00:39:27"
"48","51","10 provinces","2","2016-06-09 00:39:27"
