"id","country_id","code","fc_name","name","sequence","timestamp"
"4276","34","BG-22","sofia (stolitsa)","Sofia (stolitsa)","21","2016-06-08 00:09:31"
"4290","34","BG-08","sofija","Sofija","35","2016-06-08 00:09:31"
"4291","34","BG-01","sofija-grad","Sofija-Grad","36","2016-06-08 00:09:31"
"1870","165","NO-14","sogn og fjordane","Sogn og Fjordane","13","2016-06-08 00:09:22"
"4737","58","CZ-413","sokolov","Sokolov","89","2016-06-08 00:09:33"
"1854","161","NG-SO","sokoto","Sokoto","34","2016-06-08 00:09:21"
"3740","234","GB-SOL","solihull","Solihull","93","2016-06-08 00:09:29"
"5348","90","GT-SO","sololá","Sololá","19","2016-06-08 00:09:36"
"3167","215","CH-SO","solothurn","Solothurn","19","2016-06-08 00:09:27"
"500","114","KZ-SEV","soltüstik qazaqstan oblysy","Soltüstik Qazaqstan oblysy","15","2016-06-08 00:09:16"
"2831","202","SI-180","solčava","Solčava","156","2016-06-08 00:09:25"
"3675","234","GB-SOM","somerset","Somerset","28","2016-06-08 00:09:29"
"5160","75","FR-80","somme","Somme","111","2016-06-08 00:09:35"
"73","100","HU-SO","somogy","Somogy","15","2016-06-08 00:09:15"
"384","109","IT-SO","sondrio","Sondrio","113","2016-06-08 00:09:16"
"3315","220","TH-90","songkhla","Songkhla","65","2016-06-08 00:09:27"
"1306","143","MX-SON","sonora","Sonora","26","2016-06-08 00:09:19"
"4953","66","SV-SO","sonsonate","Sonsonate","13","2016-06-08 00:09:34"
"1913","168","PW-370","sonsorol","Sonsorol","16","2016-06-08 00:09:22"
"2924","204","SO-SO","sool","Sool","16","2016-06-08 00:09:26"
"1024","131","MK-70","sopište","Sopište","54","2016-06-08 00:09:18"
"93","100","HU-SN","sopron","Sopron","35","2016-06-08 00:09:15"
"3015","208","ES-SO","soria","Soria","61","2016-06-08 00:09:26"
"3960","237","UY-SO","soriano","Soriano","17","2016-06-08 00:09:29"
"1405","145","MD-SO","soroca","Soroca","89","2016-06-08 00:09:20"
"1360","145","MD-SOC","soroca","Soroca","44","2016-06-08 00:09:20"
"1346","145","MD-SO","soroca","Soroca","30","2016-06-08 00:09:20"
"1391","145","MD-SOA","soroca","Soroca","75","2016-06-08 00:09:20"
"3609","231","UG-211","soroti","Soroti","112","2016-06-08 00:09:28"
"2110","174","PH-SOR","sorsogon","Sorsogon","86","2016-06-08 00:09:23"
"2479","187","LC-10","soufrière","Soufrière","9","2016-06-08 00:09:24"
"4216","3","DZ-41","souk ahras","Souk Ahras","40","2016-06-08 00:09:31"
"4342","35","BF-SOM","soum","Soum","50","2016-06-08 00:09:31"
"4343","35","BF-SOR","sourou","Sourou","51","2016-06-08 00:09:31"
"1562","150","MA-13","souss-massa-drâa","Souss-Massa-Drâa","13","2016-06-08 00:09:20"
"3386","226","TN-51","sousse","Sousse","20","2016-06-08 00:09:28"
"1113","135","MV-SU","south","South","5","2016-06-08 00:09:19"
"4425","39","CM-SU","south","South","8","2016-06-08 00:09:32"
"1787","16","BS-SO","south abaco","South Abaco","27","2016-06-08 00:09:21"
"1788","16","BS-SA","south andros","South Andros","28","2016-06-08 00:09:21"
"965","13","AU-SA","south australia","South Australia","3","2016-06-08 00:09:18"
"3845","234","GB-SAY","south ayrshire","South Ayrshire","198","2016-06-08 00:09:29"
"3920","236","US-SC","south carolina","South Carolina","40","2016-06-08 00:09:29"
"1114","135","MV-SC","south central","South Central","6","2016-06-08 00:09:19"
"2111","174","PH-SCO","south cotabato","South Cotabato","87","2016-06-08 00:09:23"
"3921","236","US-SD","south dakota","South Dakota","41","2016-06-08 00:09:29"
"2611","199","SG-04","south east","South East","4","2016-06-08 00:09:25"
"4174","29","BW-SE","south east","South East","14","2016-06-08 00:09:31"
"1789","16","BS-SE","south eleuthera","South Eleuthera","29","2016-06-08 00:09:21"
"3792","234","GB-SGC","south gloucestershire","South Gloucestershire","145","2016-06-08 00:09:29"
"568","117","KP-08","south hamgyong","South Hamgyong","9","2016-06-08 00:09:16"
"565","117","KP-05","south hwanghae","South Hwanghae","6","2016-06-08 00:09:16"
"3846","234","GB-SLK","south lanarkshire","South Lanarkshire","199","2016-06-08 00:09:29"
"562","117","KP-02","south pyongan","South Pyongan","3","2016-06-08 00:09:16"
"3741","234","GB-STY","south tyneside","South Tyneside","94","2016-06-08 00:09:29"
"2612","199","SG-05","south west","South West","5","2016-06-08 00:09:25"
"4426","39","CM-SW","south-west","South-West","9","2016-06-08 00:09:32"
"3793","234","GB-STH","southampton","Southampton","146","2016-06-08 00:09:29"
"3794","234","GB-SOS","southend-on-sea","Southend-on-Sea","147","2016-06-08 00:09:29"
"4175","29","BW-SO","southern","Southern","15","2016-06-08 00:09:31"
"2436","182","RW-05","southern","Southern","5","2016-06-08 00:09:24"
"2607","198","SL-S","southern","Southern","4","2016-06-08 00:09:25"
"4103","247","ZM-07","southern","Southern","8","2016-06-08 00:09:30"
"5321","87","GD-10","southern grenadine islands","Southern Grenadine Islands","7","2016-06-08 00:09:36"
"1976","171","PG-SHM","southern highlands","Southern Highlands","18","2016-06-08 00:09:22"
"2112","174","PH-SLE","southern leyte","Southern Leyte","88","2016-06-08 00:09:23"
"3026","209","LK-3","southern province","Southern Province","3","2016-06-08 00:09:26"
"1064","133","MW-S","southern region","Southern Region","3","2016-06-08 00:09:18"
"1737","158","NZ-STL","southland","Southland","11","2016-06-08 00:09:21"
"3709","234","GB-SWK","southwark","Southwark","62","2016-06-08 00:09:29"
"4176","29","BW-ST","sowa town","Sowa Town","16","2016-06-08 00:09:31"
"1790","16","BS-SW","spanish wells","Spanish Wells","30","2016-06-08 00:09:21"
"4620","54","HR-17","splitsko-dalmatinska županija","Splitsko-dalmatinska županija","15","2016-06-08 00:09:33"
"2897","202","SI-06","spodnjeposavska","Spodnjeposavska","222","2016-06-08 00:09:25"
"1425","146","MC-SP","spélugues","Spélugues","16","2016-06-08 00:09:20"
"2832","202","SI-202","središče ob dravi","Središče ob Dravi","157","2016-06-08 00:09:25"
"2572","196","RS-02","srednjebanatski okrug","Srednjebanatski okrug","26","2016-06-08 00:09:24"
"4156","28","BA-06","srednjobosanski kanton","Srednjobosanski kanton","9","2016-06-08 00:09:31"
"2573","196","RS-07","sremski okrug","Sremski okrug","27","2016-06-08 00:09:24"
"3735","234","GB-SHN","st. helens","St. Helens","88","2016-06-08 00:09:29"
"3676","234","GB-STS","staffordshire","Staffordshire","29","2016-06-08 00:09:29"
"3249","22","BZ-SC","stann creek","Stann Creek","5","2016-06-08 00:09:27"
"4277","34","BG-24","stara zagora","Stara Zagora","22","2016-06-08 00:09:31"
"1025","131","MK-71","staro nagoričane","Staro Nagoričane","55","2016-06-08 00:09:18"
"2833","202","SI-115","starše","Starše","158","2016-06-08 00:09:25"
"2377","181","RU-STA","stavropol'skiy kray","Stavropol'skiy kray","29","2016-06-08 00:09:23"
"1245","14","AT-6","steiermark","Steiermark","6","2016-06-08 00:09:19"
"5256","85","GR-H","stereá elláda","Stereá Elláda","11","2016-06-08 00:09:36"
"3847","234","GB-STG","stirling","Stirling","200","2016-06-08 00:09:29"
"3139","214","SE-AB","stockholms län","Stockholms län","12","2016-06-08 00:09:27"
"3742","234","GB-SKP","stockport","Stockport","95","2016-06-08 00:09:29"
"3795","234","GB-STT","stockton-on-tees","Stockton-on-Tees","148","2016-06-08 00:09:29"
"3796","234","GB-STE","stoke-on-trent","Stoke-on-Trent","149","2016-06-08 00:09:29"
"715","122","LV-095","stopiņu novads","Stopiņu novads","95","2016-06-08 00:09:17"
"4826","60","DK-035","storstrøm","Storstrøm","16","2016-06-08 00:09:34"
"4738","58","CZ-316","strakonice","Strakonice","90","2016-06-08 00:09:33"
"2834","202","SI-203","straža","Straža","159","2016-06-08 00:09:25"
"716","122","LV-096","strenču novads","Strenču novads","96","2016-06-08 00:09:17"
"1026","131","MK-72","struga","Struga","56","2016-06-08 00:09:18"
"1027","131","MK-73","strumica","Strumica","57","2016-06-08 00:09:18"
"1392","145","MD-STR","strășeni","Strășeni","76","2016-06-08 00:09:20"
"1347","145","MD-ST","strășeni","Strășeni","31","2016-06-08 00:09:20"
"1028","131","MK-74","studeničani","Studeničani","58","2016-06-08 00:09:18"
"1353","145","MD-SN","stînga nistrului, unitatea teritorială din","Stînga Nistrului, unitatea teritorială din","37","2016-06-08 00:09:20"
"1409","145","MD-SN","stînga nistrului, unitatea teritorială din","Stînga Nistrului, unitatea teritorială din","93","2016-06-08 00:09:20"
"4414","38","KH-19","stœ̆ng trêng","Stœ̆ng Trêng","22","2016-06-08 00:09:32"
"4757","58","CZ-CST","středočeský kraj","Středočeský kraj","109","2016-06-08 00:09:33"
